rank,title,desc,runtime,genre,rating,votes,director,metascore
69,Terra Formars,"To colonize Mars, 21st century scientists seed the planet with algae and cockroaches. 500 years later, the first manned mission to Mars loses contact with Earth, and a second spacecraft is sent to investigate.",108,Action,4.8,3250,Takashi Miike,
70,Lion,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",118,Biography,8.0,246497,Garth Davis,69.0
71,Fences,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",139,Drama,7.2,115078,Denzel Washington,79.0
72,The Fundamentals of Caring,A man suffering a family loss enrolls in a class about care-giving that changes his perspective on life.,97,Comedy,7.3,77794,Rob Burnett,55.0
73,Brimstone,"From the moment the new Reverend climbs the pulpit, Liz knows that she and her family are in great danger.",148,Drama,7.0,44167,Martin Koolhoven,45.0
74,The Secret Life of Pets,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",87,Animation,6.5,212917,Chris Renaud,61.0
75,The BFG,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",117,Adventure,6.3,91428,Steven Spielberg,66.0
76,Jack Reacher: Never Go Back,Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.,118,Action,6.1,170563,Edward Zwick,47.0
77,Free Fire,"Set in Boston in 1978, a meeting in a deserted warehouse between two gangs turns into a shoot-out and a game of survival.",91,Action,6.3,49530,Ben Wheatley,63.0
78,Kung Fu Panda 3,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home.",95,Animation,7.1,177171,Alessandro Carloni,66.0
79,Grimsby,A new assignment forces a top spy to team up with his football hooligan brother.,83,Action,6.2,108816,Louis Leterrier,44.0
80,Grave,"A young woman, studying to be a vet, develops a craving for human flesh.",99,Drama,7.0,86565,Julia Ducournau,81.0
81,Dirty Grandpa,"Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant Colonel, to Florida for Spring Break.",102,Comedy,5.9,130767,Dan Mazer,21.0
82,Central Intelligence,"After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.",107,Action,6.3,206922,Rawson Marshall Thurber,52.0
83,Five Nights at Freddy's 4,"One day, a boy goes to Freddy Fazbear's pizzeria. The next day, strange things happen. A package arrives at your house, an invitation to an anonymous birthday party. Things lurk at night at Freddy Fazbear's.",60,Animation,7.2,478,Andrew Ervin,
84,The Great Wall,"In ancient China, a group of European mercenaries encounters a secret army that maintains and defends the Great Wall of China against a horde of monstrous creatures.",103,Action,5.9,143492,Yimou Zhang,42.0
85,Mike and Dave Need Wedding Dates,"Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",98,Comedy,6.0,93769,Jake Szymanski,51.0
86,Sully,"When pilot Chesley ""Sully"" Sullenberger lands his damaged plane on the Hudson River in order to save the flight's passengers and crew, some consider him a hero while others think he was reckless.",96,Biography,7.4,291288,Clint Eastwood,74.0
